Stencil Name	Alternate Name	Stencil Ocurrence	Location	Stencil Library Name/File	Stencil Category
Access Group	AG	1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
Account Group		1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
ACL Rules		1	Desktop Drawio v25.0.2+	IBM / Security	Security
Admin		1	Stencils Repo.	not_released_in_drawio.xml	Actors
Alerting		1	Stencils Repo.	not_released_in_drawio.xml	Observability
Ansible		1	Desktop Drawio v25.0.2+	IBM / Devops	Devops
API		1	Stencils Repo.	not_released_in_drawio.xml	Actors
API Gateway		1	Stencils Repo.	not_released_in_drawio.xml	Network
App ID		1	Desktop Drawio v25.0.2+	IBM / Security	Security
Application		1	Desktop Drawio v25.0.2+	IBM / Actors	Actors
Application Load Balancer	ALB	1	Desktop Drawio v25.0.2+	IBM / Network	Network
Archive		1	Stencils Repo.	not_released_in_drawio.xml	Storage
Artifact Repository		1	Stencils Repo.	not_released_in_drawio.xml	Devops
Auditing		1	Stencils Repo.	not_released_in_drawio.xml	Observability
Authorization Boundary		1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
Automation Script		1	Stencils Repo.	not_released_in_drawio.xml	Actors
Availability Zone	Data center	1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
Backend Router		1	Stencils Repo.	not_released_in_drawio.xml	Network
Backend Switch		1	Stencils Repo.	not_released_in_drawio.xml	Network
Bare Metal Server	BM	1	Desktop Drawio v25.0.2+	IBM / Compute	Compute
Bastion Host		1	Desktop Drawio v25.0.2+	IBM / Security	Security
Blob		1	Stencils Repo.	not_released_in_drawio.xml	Data
Block Storage		1	Desktop Drawio v25.0.2+	IBM / Storage	Storage
Block Volume		1	Stencils Repo.	not_released_in_drawio.xml	Storage
Build		1	Stencils Repo.	not_released_in_drawio.xml	Devops
CDN		1	Stencils Repo.	not_released_in_drawio.xml	Network
Certificate		1	Stencils Repo.	not_released_in_drawio.xml	Security
Chip	CPU / GPU / Driver	2	Stencils Repo.	not_released_in_drawio.xml	Compute
Chip	CPU / GPU / Driver	2	Stencils Repo.	not_released_in_drawio.xml	Groups
Classic Bare Metal Server	BM	1	Desktop Drawio v25.0.2+	IBM / Compute	Compute
Classic Infrastructure		1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
Classic Load Balancer		1	Desktop Drawio v25.0.2+	IBM / Network	Network
Classic Virtual Server		1	Desktop Drawio v25.0.2+	IBM / Compute	Compute
Classic VLAN	VLAN	2	Desktop Drawio v25.0.2+	IBM / Groups	Groups
Classic VLAN	VLAN	2	Desktop Drawio v25.0.2+	IBM / Network	Network
CLI Application		1	Stencils Repo.	not_released_in_drawio.xml	Actors
Cloud		1	Stencils Repo.	not_released_in_drawio.xml	Groups
Cloud Logs		1	Desktop Drawio v25.0.2+	IBM / Observability	Observability
Cloud Services		1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
Cloudant 		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Code Engine		1	Stencils Repo.	not_released_in_drawio.xml	Compute
Code Signing Service		1	Stencils Repo.	not_released_in_drawio.xml	Security
Collaboration		1	Stencils Repo.	not_released_in_drawio.xml	Actors
Container Registry		1	Desktop Drawio v25.0.2+	IBM / Containers	Containers
Continuous Delivery		1	Desktop Drawio v25.0.2+	IBM / Devops	Devops
Continuous Deployment		1	Stencils Repo.	not_released_in_drawio.xml	Devops
Continuous Integration		1	Desktop Drawio v25.0.2+	IBM / Devops	Devops
Credentials		2	Stencils Repo.	not_released_in_drawio.xml	Groups
Credentials		2	Stencils Repo.	not_released_in_drawio.xml	Security
Data Backup		1	Stencils Repo.	not_released_in_drawio.xml	Data
Data Center	DC	1	Stencils Repo.	not_released_in_drawio.xml	Groups
Data Diode		1	Stencils Repo.	not_released_in_drawio.xml	Security
Data Pak		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Data Stage		1	Stencils Repo.	not_released_in_drawio.xml	Data
Data Store		1	Stencils Repo.	not_released_in_drawio.xml	Storage
Database	DB	1	Desktop Drawio v25.0.2+	IBM / Data	Data
Database Messaging		1	Stencils Repo.	not_released_in_drawio.xml	Data
DataStax		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Db2		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Db2 Warehouse		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Dedicated Host		2	Desktop Drawio v25.0.2+	IBM / Compute	Compute
Dedicated Host		2	Stencils Repo.	not_released_in_drawio.xml	Groups
Devices		1	Stencils Repo.	not_released_in_drawio.xml	Actors
Direct Link Connect		1	Desktop Drawio v25.0.2+	IBM / Network	Network
Direct Link Dedicated		1	Desktop Drawio v25.0.2+	IBM / Network	Network
DNS Services		1	Desktop Drawio v25.0.2+	IBM / Network	Network
Document Protected		1	Stencils Repo.	not_released_in_drawio.xml	Security
Document Security		1	Stencils Repo.	not_released_in_drawio.xml	Security
Document Signed		1	Stencils Repo.	not_released_in_drawio.xml	Security
Document Unprotected		1	Stencils Repo.	not_released_in_drawio.xml	Security
Edge Node		1	Stencils Repo.	not_released_in_drawio.xml	Network
Elasticsearch		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Encryption		1	Stencils Repo.	not_released_in_drawio.xml	Security
Endpoint Gateway		2	Stencils Repo.	not_released_in_drawio.xml	Groups
Endpoint Gateway		2	Desktop Drawio v25.0.2+	IBM / Network	Network
Enterprise	Company	1	Desktop Drawio v25.0.2+	IBM / Actors	Actors
Enterprise Network		1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
EnterpriseDB		1	Desktop Drawio v25.0.2+	IBM / Data	Data
etcd		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Event Streams		1	Desktop Drawio v25.0.2+	IBM / Data	Data
Expanded Bare Metal Server	BM	1	Desktop Drawio v25.0.2+	IBM / Groups	Groups
